file_id,file_path,adjusted_energy,all_atoms_distance_mic,carbon_distance_mic,displacement_distance,X,Y,Z
r0_t0_t0_240.cif,d:\New folder\project\data\r0\t0\t0_240.cif,-0.0011700000000018,7.26254777148532,7.729099203720706,7.729099203720706,2.626428397123717,-0.908362379080162,7.212192881780826
r0_t1.2_t1.2_240.cif,d:\New folder\project\data\r0\t1.2\t1.2_240.cif,-0.010499999999979,7.050208284998653,7.359408152728124,7.359408152728123,1.128858029370462,-0.8547930260841471,7.221903958827264
r0_t1.2_t1.2_260.cif,d:\New folder\project\data\r0\t1.2\t1.2_260.cif,-0.0539400000000114,6.638044001353954,6.907801879054775,6.907801879054776,0.9016654579305272,-0.5167222867551884,6.82918181633921
r0_t2.4_t2.4_240.cif,d:\New folder\project\data\r0\t2.4\t2.4_240.cif,-0.0839599999999336,7.1171037630906,7.4055330360661555,7.4055330360661555,0.3368119716232128,-1.2933102441970934,7.283943015722552
r0_t2.4_t2.4_260.cif,d:\New folder\project\data\r0\t2.4\t2.4_260.cif,-0.1451499999999441,6.634964147564084,6.885280699324377,6.885280699324378,0.5296767724311062,-0.4396068593336112,6.85078671646276
r0_t3.6_t3.6_220.cif,d:\New folder\project\data\r0\t3.6\t3.6_220.cif,-0.0057600000000093,7.5869880743015194,7.876772826214767,7.876772826214764,-0.468398914473352,-1.062880588419555,7.790663480569316
r0_t3.6_t3.6_240.cif,d:\New folder\project\data\r0\t3.6\t3.6_240.cif,-0.073509999999942,7.249198936924785,7.5294820982355954,7.52948209823559,-0.7820080827098155,-0.7380201293754267,7.452307717402941
r0_t4.8_t4.8_0.cif,d:\New folder\project\data\r0\t4.8\t4.8_0.cif,-0.1057899999999563,7.75226677797916,7.863764072215505,7.863764072215505,1.5026910093131112,-1.2441486446357757,7.617926178695084
r0_t4.8_t4.8_100.cif,d:\New folder\project\data\r0\t4.8\t4.8_100.cif,-0.1297200000000202,6.685962925526938,6.927378324842131,6.927378324842133,1.091978865271127,-1.0961676435353016,6.752375071821769
r0_t4.8_t4.8_120.cif,d:\New folder\project\data\r0\t4.8\t4.8_120.cif,-0.0025399999999535,6.777911660748572,7.022300235714755,7.022300235714751,0.859002507611728,-0.811713649318024,6.922133792693336
r0_t4.8_t4.8_320.cif,d:\New folder\project\data\r0\t4.8\t4.8_320.cif,-0.0777699999999868,7.331737743576795,7.404480504032237,7.404480504032241,0.5131247019561145,-0.742220702879016,7.349295408612568
r0_t6.0_t6.0_100.cif,d:\New folder\project\data\r0\t6.0\t6.0_100.cif,-0.1408799999999246,6.715901112268891,6.831992055066119,6.831992055066123,-0.1826206976299771,-1.0628434715552475,6.746341888479723
r0_t7.2_t7.2_100.cif,d:\New folder\project\data\r0\t7.2\t7.2_100.cif,-0.0314700000000129,6.795311526413,6.94461759531077,6.910846750414925,-0.8843033079617839,-1.114409538305739,6.762832383563973
r20_t1.2_t1.2_260.cif,d:\New folder\project\data\r20\t1.2\t1.2_260.cif,-0.090249999999969,6.433857819542192,6.679299951100403,6.679299951100404,0.9858791492870242,-0.8206222168933361,6.554972869273527
r20_t2.4_t2.4_260.cif,d:\New folder\project\data\r20\t2.4\t2.4_260.cif,-0.1518800000000055,6.3945256754836635,6.620083051257406,6.620083051257403,0.492048968025093,-0.7746530788062794,6.556165039572061
r20_t3.6_t3.6_240.cif,d:\New folder\project\data\r20\t3.6\t3.6_240.cif,-0.0480799999999135,6.990134712000811,7.223536080564491,7.223536080564494,-0.5651288813154465,-0.9111860925310842,7.143517534065283
r20_t3.6_t3.6_260.cif,d:\New folder\project\data\r20\t3.6\t3.6_260.cif,-0.1128800000000183,6.541098446790898,6.7559808512086335,6.755980851208633,-0.8063507512981201,-0.6570779582885085,6.675426899046238
r20_t6.0_t6.0_100.cif,d:\New folder\project\data\r20\t6.0\t6.0_100.cif,-0.0301599999999098,6.429011626663994,6.538442292925026,6.538442292925026,-0.1553021381167268,-1.3340231216400884,6.39902267340386
r40_t0_t0_340.cif,d:\New folder\project\data\r40\t0\t0_340.cif,-0.1323999999999614,6.743196125601604,6.730007604891694,6.730007604891693,0.5515302538011658,-1.4459523090932058,6.549659430907081
